ORDERID,ORDERDATE,CUSTOMERID,CUSTOMERNAME,PHONE,EMAIL,PRODUCTID,PRODUCTNAME,CATEGORY,QUANTITY,UNITPRICE,LINEAMOUNT
O00204,2025-04-20,C0172,Indrans Dass,918075269722,ivan39@gmail.com,P0491,Gun,Home,1,14220.38,14220.38
O00204,2025-04-20,C0172,Indrans Dass,918075269722,ivan39@gmail.com,P0242,Guess,Grocery,3,29562.1,88686.3
O00204,2025-04-20,C0172,Indrans Dass,918075269722,ivan39@gmail.com,P0363,Inside,Books,3,26506.83,79520.49
O00204,2025-04-20,C0172,Indrans Dass,918075269722,ivan39@gmail.com,P0391,Reason,Toys,3,43651.0,130953.0
O00205,2025-06-02,C0437,Samarth Soman,916505668320,suranitya@gmail.com,P0295,Goal,Electronics,1,197.81,197.81
O00206,2025-04-24,C0561,Anay Kanda,919345448315,azadbhatti@gmail.com,P0054,Knowledge,Grocery,1,49403.07,49403.07
O00206,2025-04-24,C0561,Anay Kanda,919345448315,azadbhatti@gmail.com,P0208,Wide,Books,2,45993.95,91987.9
O00206,2025-04-24,C0561,Anay Kanda,919345448315,azadbhatti@gmail.com,P0293,Money,Grocery,3,486.78,1460.34
O00206,2025-04-24,C0561,Anay Kanda,919345448315,azadbhatti@gmail.com,P0422,Long,Toys,2,23695.22,47390.44
O00207,2025-02-21,C0027,Diya Shankar,918811975015,eshaniguha@gmail.com,P0475,At,Toys,3,35943.68,107831.04
O00207,2025-02-21,C0027,Diya Shankar,918811975015,eshaniguha@gmail.com,P0200,But,Home,3,13941.44,41824.32
O00208,2025-06-25,C0085,Hazel Sood,916126436243,manikyalala@gmail.com,P0138,Purpose,Grocery,3,2234.54,6703.62
O00208,2025-06-25,C0085,Hazel Sood,916126436243,manikyalala@gmail.com,P0381,Avoid,Toys,3,20362.89,61088.67
O00208,2025-06-25,C0085,Hazel Sood,916126436243,manikyalala@gmail.com,P0373,Especially,Electronics,3,6461.93,19385.79
O00209,2025-08-15,C0220,Eshani Sem,919076754649,sankarvritika@gmail.com,P0358,Method,Toys,1,20030.96,20030.96
O00209,2025-08-15,C0220,Eshani Sem,919076754649,sankarvritika@gmail.com,P0498,Alone,Grocery,1,23027.23,23027.23
O00209,2025-08-15,C0220,Eshani Sem,919076754649,sankarvritika@gmail.com,P0421,Human,Home,3,37593.63,112780.89
O00209,2025-08-15,C0220,Eshani Sem,919076754649,sankarvritika@gmail.com,P0019,Such,Fashion,3,14547.49,43642.47
O00209,2025-08-15,C0220,Eshani Sem,919076754649,sankarvritika@gmail.com,P0193,Whole,Home,2,2379.84,4759.68
O00210,2025-02-18,C0691,Renee Datta,919835351473,khushi53@gmail.com,P0455,Court,Electronics,1,24246.4,24246.4
O00210,2025-02-18,C0691,Renee Datta,919835351473,khushi53@gmail.com,P0095,Four,Grocery,1,43421.39,43421.39
O00211,2024-12-13,C0018,Hazel Chokshi,919454816171,anyataneja@gmail.com,P0051,Child,Home,1,907.17,907.17
O00211,2024-12-13,C0018,Hazel Chokshi,919454816171,anyataneja@gmail.com,P0321,Right,Fashion,3,41419.14,124257.42
O00212,2025-04-18,C0603,Lakshay Kanda,916666873298,kiaan49@gmail.com,P0473,Feeling,Fashion,3,6741.82,20225.46
O00212,2025-04-18,C0603,Lakshay Kanda,916666873298,kiaan49@gmail.com,P0148,Will,Books,3,29281.73,87845.19
O00213,2025-08-15,C0373,Aaryahi Kari,918939094678,himmatbhalla@gmail.com,P0455,Court,Electronics,3,24246.4,72739.2
O00213,2025-08-15,C0373,Aaryahi Kari,918939094678,himmatbhalla@gmail.com,P0244,Friend,Grocery,3,44739.64,134218.92
O00213,2025-08-15,C0373,Aaryahi Kari,918939094678,himmatbhalla@gmail.com,P0274,Goal,Books,1,36502.79,36502.79
O00213,2025-08-15,C0373,Aaryahi Kari,918939094678,himmatbhalla@gmail.com,P0261,Movie,Toys,2,34647.61,69295.22
O00213,2025-08-15,C0373,Aaryahi Kari,918939094678,himmatbhalla@gmail.com,P0136,Method,Grocery,2,2991.68,5983.36
O00214,2024-10-24,C0337,Kabir Kale,918400709173,arhaan96@gmail.com,P0379,Without,Electronics,1,13525.07,13525.07
O00214,2024-10-24,C0337,Kabir Kale,918400709173,arhaan96@gmail.com,P0182,Director,Electronics,3,28330.65,84991.95
O00214,2024-10-24,C0337,Kabir Kale,918400709173,arhaan96@gmail.com,P0148,Will,Books,1,29281.73,29281.73
O00214,2024-10-24,C0337,Kabir Kale,918400709173,arhaan96@gmail.com,P0227,Behavior,Electronics,2,36013.96,72027.92
O00214,2024-10-24,C0337,Kabir Kale,918400709173,arhaan96@gmail.com,P0046,Around,Books,3,33731.27,101193.81
O00215,2024-10-24,C0714,Ivana Basak,919407545082,singhalvedika@gmail.com,P0249,Threat,Toys,2,16905.35,33810.7
O00216,2025-06-09,C0184,Priyansh Chakrabarti,919586488505,irabhagat@gmail.com,P0477,Executive,Home,2,40796.04,81592.08
O00216,2025-06-09,C0184,Priyansh Chakrabarti,919586488505,irabhagat@gmail.com,P0269,Speech,Books,3,34902.62,104707.86
O00217,2025-02-18,C0704,Samaira Batra,919823544047,xkalita@gmail.com,P0061,Much,Books,3,42843.58,128530.74
O00217,2025-02-18,C0704,Samaira Batra,919823544047,xkalita@gmail.com,P0248,My,Grocery,1,37715.55,37715.55
O00217,2025-02-18,C0704,Samaira Batra,919823544047,xkalita@gmail.com,P0087,Hotel,Fashion,3,2608.49,7825.47
O00217,2025-02-18,C0704,Samaira Batra,919823544047,xkalita@gmail.com,P0095,Four,Grocery,3,43421.39,130264.17
O00217,2025-02-18,C0704,Samaira Batra,919823544047,xkalita@gmail.com,P0400,However,Toys,2,24051.41,48102.82
O00218,2025-02-19,C0776,Hazel Madan,917674728232,uvala@gmail.com,P0274,Goal,Books,3,36502.79,109508.37
O00218,2025-02-19,C0776,Hazel Madan,917674728232,uvala@gmail.com,P0416,Hot,Fashion,3,2188.07,6564.21
O00219,2024-11-04,C0703,Parinaaz Chakrabarti,918211956232,shamikdasgupta@gmail.com,P0052,Black,Electronics,2,8130.37,16260.74
O00219,2024-11-04,C0703,Parinaaz Chakrabarti,918211956232,shamikdasgupta@gmail.com,P0347,Newspaper,Fashion,3,48533.81,145601.43
O00219,2024-11-04,C0703,Parinaaz Chakrabarti,918211956232,shamikdasgupta@gmail.com,P0496,Although,Grocery,1,6446.33,6446.33
O00219,2024-11-04,C0703,Parinaaz Chakrabarti,918211956232,shamikdasgupta@gmail.com,P0040,Practice,Home,3,27945.65,83836.95
O00219,2024-11-04,C0703,Parinaaz Chakrabarti,918211956232,shamikdasgupta@gmail.com,P0382,Member,Books,2,10297.15,20594.3
O00220,2025-02-28,C0439,Adira De,916676421710,schakrabarti@gmail.com,P0180,Section,Electronics,3,15179.3,45537.9
O00220,2025-02-28,C0439,Adira De,916676421710,schakrabarti@gmail.com,P0446,Personal,Home,1,42866.03,42866.03
O00220,2025-02-28,C0439,Adira De,916676421710,schakrabarti@gmail.com,P0224,Each,Fashion,3,595.03,1785.09
O00220,2025-02-28,C0439,Adira De,916676421710,schakrabarti@gmail.com,P0101,Decision,Books,2,11437.75,22875.5
O00220,2025-02-28,C0439,Adira De,916676421710,schakrabarti@gmail.com,P0243,Although,Electronics,1,39529.4,39529.4
O00221,2025-07-13,C0834,Pari Lalla,917016894822,wablepriyansh@gmail.com,P0318,Partner,Home,2,15284.42,30568.84
O00221,2025-07-13,C0834,Pari Lalla,917016894822,wablepriyansh@gmail.com,P0275,Growth,Fashion,3,40260.94,120782.82
O00221,2025-07-13,C0834,Pari Lalla,917016894822,wablepriyansh@gmail.com,P0177,Add,Grocery,2,31507.75,63015.5
O00221,2025-07-13,C0834,Pari Lalla,917016894822,wablepriyansh@gmail.com,P0194,Better,Books,1,49657.42,49657.42
O00221,2025-07-13,C0834,Pari Lalla,917016894822,wablepriyansh@gmail.com,P0062,Night,Toys,2,719.92,1439.84
O00222,2024-11-13,C0376,Ira Shukla,917471114095,cwable@gmail.com,P0352,Decade,Grocery,1,22564.59,22564.59
O00222,2024-11-13,C0376,Ira Shukla,917471114095,cwable@gmail.com,P0309,Represent,Electronics,1,4996.03,4996.03
O00222,2024-11-13,C0376,Ira Shukla,917471114095,cwable@gmail.com,P0160,Since,Toys,3,41383.45,124150.35
O00222,2024-11-13,C0376,Ira Shukla,917471114095,cwable@gmail.com,P0276,All,Books,3,17066.13,51198.39
O00222,2024-11-13,C0376,Ira Shukla,917471114095,cwable@gmail.com,P0454,Later,Fashion,2,39383.95,78767.9
O00223,2025-08-14,C0366,Manjari Bhagat,917821455871,sherecharvi@gmail.com,P0091,Land,Toys,2,19236.54,38473.08
O00223,2025-08-14,C0366,Manjari Bhagat,917821455871,sherecharvi@gmail.com,P0363,Inside,Books,2,26506.83,53013.66
O00223,2025-08-14,C0366,Manjari Bhagat,917821455871,sherecharvi@gmail.com,P0076,Gas,Grocery,3,33745.05,101235.15
O00224,2025-02-16,C0178,Kashvi Bail,918234798903,yuvaan91@gmail.com,P0310,Data,Toys,2,32555.16,65110.32
O00224,2025-02-16,C0178,Kashvi Bail,918234798903,yuvaan91@gmail.com,P0489,Treat,Home,3,30157.74,90473.22
O00224,2025-02-16,C0178,Kashvi Bail,918234798903,yuvaan91@gmail.com,P0181,Store,Electronics,3,7171.29,21513.87
O00224,2025-02-16,C0178,Kashvi Bail,918234798903,yuvaan91@gmail.com,P0333,Type,Grocery,2,5203.19,10406.38
O00224,2025-02-16,C0178,Kashvi Bail,918234798903,yuvaan91@gmail.com,P0319,Friend,Electronics,1,17520.15,17520.15
O00225,2025-08-31,C0787,Ivan Bandi,917704987677,anahitawali@gmail.com,P0154,Effort,Grocery,3,26859.2,80577.6
O00225,2025-08-31,C0787,Ivan Bandi,917704987677,anahitawali@gmail.com,P0455,Court,Electronics,2,24246.4,48492.8
O00226,2025-03-04,C0677,Badal Setty,917870437169,jayantgarg@gmail.com,P0439,Share,Toys,3,18005.17,54015.51
O00226,2025-03-04,C0677,Badal Setty,917870437169,jayantgarg@gmail.com,P0224,Each,Fashion,1,595.03,595.03
O00226,2025-03-04,C0677,Badal Setty,917870437169,jayantgarg@gmail.com,P0118,Support,Home,3,35996.16,107988.48
O00227,2024-10-22,C0742,Faiyaz Kari,917066019297,otank@gmail.com,P0099,Machine,Grocery,1,5087.08,5087.08
O00227,2024-10-22,C0742,Faiyaz Kari,917066019297,otank@gmail.com,P0220,Car,Grocery,2,15563.77,31127.54
O00227,2024-10-22,C0742,Faiyaz Kari,917066019297,otank@gmail.com,P0328,Born,Home,2,7635.87,15271.74
O00228,2024-12-03,C0639,Tiya Bal,917663811731,chaudharivedika@gmail.com,P0202,Least,Grocery,2,30815.56,61631.12
O00228,2024-12-03,C0639,Tiya Bal,917663811731,chaudharivedika@gmail.com,P0217,Building,Fashion,1,43359.09,43359.09
O00228,2024-12-03,C0639,Tiya Bal,917663811731,chaudharivedika@gmail.com,P0307,Much,Fashion,2,27744.18,55488.36
O00228,2024-12-03,C0639,Tiya Bal,917663811731,chaudharivedika@gmail.com,P0180,Section,Electronics,1,15179.3,15179.3
O00228,2024-12-03,C0639,Tiya Bal,917663811731,chaudharivedika@gmail.com,P0300,Return,Electronics,3,10069.79,30209.37
O00229,2025-09-04,C0123,Kimaya Dalal,919366570613,oorja07@gmail.com,P0330,Do,Toys,3,27768.67,83306.01
O00230,2025-03-03,C0207,Diya Gaba,917630388905,tejasbumb@gmail.com,P0149,Media,Electronics,3,33043.26,99129.78
O00230,2025-03-03,C0207,Diya Gaba,917630388905,tejasbumb@gmail.com,P0072,Half,Home,2,30586.09,61172.18
O00231,2025-02-12,C0501,Hansh Raju,919019213592,shaanbhargava@gmail.com,P0228,World,Home,3,42687.6,128062.8
O00231,2025-02-12,C0501,Hansh Raju,919019213592,shaanbhargava@gmail.com,P0220,Car,Grocery,3,15563.77,46691.31
O00231,2025-02-12,C0501,Hansh Raju,919019213592,shaanbhargava@gmail.com,P0202,Least,Grocery,2,30815.56,61631.12
O00232,2024-11-05,C0207,Diya Gaba,917630388905,tejasbumb@gmail.com,P0256,Choice,Fashion,1,38096.03,38096.03
O00233,2025-06-24,C0656,Saksham Venkatesh,919160581307,tejasmangal@gmail.com,P0173,Fine,Fashion,3,36346.52,109039.56
O00233,2025-06-24,C0656,Saksham Venkatesh,919160581307,tejasmangal@gmail.com,P0144,Career,Toys,2,19915.53,39831.06
O00233,2025-06-24,C0656,Saksham Venkatesh,919160581307,tejasmangal@gmail.com,P0441,Color,Toys,1,31441.06,31441.06
O00233,2025-06-24,C0656,Saksham Venkatesh,919160581307,tejasmangal@gmail.com,P0053,Time,Home,2,28738.91,57477.82
O00233,2025-06-24,C0656,Saksham Venkatesh,919160581307,tejasmangal@gmail.com,P0416,Hot,Fashion,2,2188.07,4376.14
O00234,2025-02-24,C0743,Diya Seshadri,919006717508,rasha96@gmail.com,P0369,Region,Books,3,29719.67,89159.01
O00234,2025-02-24,C0743,Diya Seshadri,919006717508,rasha96@gmail.com,P0326,Live,Grocery,2,18953.49,37906.98
O00234,2025-02-24,C0743,Diya Seshadri,919006717508,rasha96@gmail.com,P0314,Stuff,Electronics,2,23667.18,47334.36
O00235,2025-01-18,C0216,Jayan Dada,918889302083,ushan@gmail.com,P0236,Situation,Books,2,7364.61,14729.22
O00235,2025-01-18,C0216,Jayan Dada,918889302083,ushan@gmail.com,P0132,Fear,Books,2,16953.1,33906.2
O00235,2025-01-18,C0216,Jayan Dada,918889302083,ushan@gmail.com,P0024,Officer,Grocery,3,25649.5,76948.5
O00235,2025-01-18,C0216,Jayan Dada,918889302083,ushan@gmail.com,P0300,Return,Electronics,3,10069.79,30209.37
O00236,2025-02-20,C0300,Hrishita Sant,919391347913,bhavin40@gmail.com,P0004,Strong,Electronics,2,14763.61,29527.22
O00236,2025-02-20,C0300,Hrishita Sant,919391347913,bhavin40@gmail.com,P0227,Behavior,Electronics,1,36013.96,36013.96
O00236,2025-02-20,C0300,Hrishita Sant,919391347913,bhavin40@gmail.com,P0454,Later,Fashion,2,39383.95,78767.9
O00236,2025-02-20,C0300,Hrishita Sant,919391347913,bhavin40@gmail.com,P0268,Very,Electronics,1,49631.1,49631.1
O00236,2025-02-20,C0300,Hrishita Sant,919391347913,bhavin40@gmail.com,P0417,Here,Electronics,3,48161.82,144485.46
O00237,2025-07-11,C0384,Kimaya Sidhu,919937011779,qbhasin@gmail.com,P0491,Gun,Home,2,14220.38,28440.76
O00237,2025-07-11,C0384,Kimaya Sidhu,919937011779,qbhasin@gmail.com,P0193,Whole,Home,3,2379.84,7139.52
O00237,2025-07-11,C0384,Kimaya Sidhu,919937011779,qbhasin@gmail.com,P0300,Return,Electronics,1,10069.79,10069.79
O00238,2025-06-04,C0068,Vedika Gokhale,917657793975,gulatisuhana@gmail.com,P0487,Wind,Grocery,2,26054.97,52109.94
O00238,2025-06-04,C0068,Vedika Gokhale,917657793975,gulatisuhana@gmail.com,P0228,World,Home,2,42687.6,85375.2
O00238,2025-06-04,C0068,Vedika Gokhale,917657793975,gulatisuhana@gmail.com,P0087,Hotel,Fashion,2,2608.49,5216.98
O00238,2025-06-04,C0068,Vedika Gokhale,917657793975,gulatisuhana@gmail.com,P0186,Environment,Fashion,1,39743.81,39743.81
O00239,2024-11-18,C0068,Vedika Gokhale,917657793975,gulatisuhana@gmail.com,P0013,Give,Electronics,3,2877.19,8631.57
O00240,2025-06-29,C0398,Madhup Dutt,917752166449,boramannat@gmail.com,P0153,Dark,Electronics,3,47262.3,141786.9
O00240,2025-06-29,C0398,Madhup Dutt,917752166449,boramannat@gmail.com,P0152,Marriage,Electronics,3,24420.94,73262.82
O00241,2024-09-05,C0340,Zara Zacharia,919186068480,gmallick@gmail.com,P0101,Decision,Books,3,11437.75,34313.25
O00241,2024-09-05,C0340,Zara Zacharia,919186068480,gmallick@gmail.com,P0126,Wonder,Toys,2,28749.51,57499.02
O00242,2025-07-19,C0944,Ira Majumdar,918282949339,shalvkuruvilla@gmail.com,P0417,Here,Electronics,3,48161.82,144485.46
O00242,2025-07-19,C0944,Ira Majumdar,918282949339,shalvkuruvilla@gmail.com,P0131,Quite,Fashion,2,25134.94,50269.88
O00242,2025-07-19,C0944,Ira Majumdar,918282949339,shalvkuruvilla@gmail.com,P0141,Arm,Toys,3,8803.86,26411.58
O00242,2025-07-19,C0944,Ira Majumdar,918282949339,shalvkuruvilla@gmail.com,P0205,Low,Books,3,3894.6,11683.8
O00242,2025-07-19,C0944,Ira Majumdar,918282949339,shalvkuruvilla@gmail.com,P0287,Environment,Books,3,28596.46,85789.38
O00243,2024-09-18,C0338,Advika Venkatesh,917073275888,kanavrajagopalan@gmail.com,P0296,Safe,Grocery,3,6885.75,20657.25
O00244,2024-12-15,C0176,Ehsaan Golla,917214513167,jbhatti@gmail.com,P0093,Improve,Books,1,43974.96,43974.96
O00244,2024-12-15,C0176,Ehsaan Golla,917214513167,jbhatti@gmail.com,P0174,Career,Grocery,3,33061.41,99184.23
O00244,2024-12-15,C0176,Ehsaan Golla,917214513167,jbhatti@gmail.com,P0496,Although,Grocery,2,6446.33,12892.66
O00244,2024-12-15,C0176,Ehsaan Golla,917214513167,jbhatti@gmail.com,P0037,Hundred,Books,1,36049.73,36049.73
O00244,2024-12-15,C0176,Ehsaan Golla,917214513167,jbhatti@gmail.com,P0379,Without,Electronics,1,13525.07,13525.07
O00245,2025-04-08,C0028,Tarini Koshy,919892557737,dugarjayan@gmail.com,P0441,Color,Toys,3,31441.06,94323.18
O00245,2025-04-08,C0028,Tarini Koshy,919892557737,dugarjayan@gmail.com,P0338,Such,Books,1,38071.08,38071.08
O00246,2024-12-04,C0996,Jayant Bhavsar,916561231679,myramajumdar@gmail.com,P0112,So,Fashion,1,7126.45,7126.45
O00246,2024-12-04,C0996,Jayant Bhavsar,916561231679,myramajumdar@gmail.com,P0280,Stay,Grocery,1,33100.84,33100.84
O00246,2024-12-04,C0996,Jayant Bhavsar,916561231679,myramajumdar@gmail.com,P0091,Land,Toys,2,19236.54,38473.08
O00246,2024-12-04,C0996,Jayant Bhavsar,916561231679,myramajumdar@gmail.com,P0188,Seat,Home,1,13140.53,13140.53
O00247,2025-04-18,C0005,Uthkarsh Toor,919604056464,rasha82@gmail.com,P0103,Green,Fashion,2,43879.19,87758.38
O00247,2025-04-18,C0005,Uthkarsh Toor,919604056464,rasha82@gmail.com,P0176,Young,Grocery,1,30664.46,30664.46
O00247,2025-04-18,C0005,Uthkarsh Toor,919604056464,rasha82@gmail.com,P0045,Term,Electronics,3,27614.52,82843.56
O00247,2025-04-18,C0005,Uthkarsh Toor,919604056464,rasha82@gmail.com,P0429,Free,Books,1,25226.17,25226.17
O00247,2025-04-18,C0005,Uthkarsh Toor,919604056464,rasha82@gmail.com,P0137,Artist,Toys,1,22076.28,22076.28
O00248,2025-07-20,C0143,Fateh Sabharwal,918238977786,ycherian@gmail.com,P0196,Someone,Fashion,3,31927.62,95782.86
O00248,2025-07-20,C0143,Fateh Sabharwal,918238977786,ycherian@gmail.com,P0500,Sort,Books,3,30616.24,91848.72
O00249,2025-05-14,C0081,Shray Loyal,917561450578,wadhwabhavin@gmail.com,P0453,Official,Grocery,3,34440.96,103322.88
O00249,2025-05-14,C0081,Shray Loyal,917561450578,wadhwabhavin@gmail.com,P0339,Teach,Electronics,3,15732.96,47198.88
O00249,2025-05-14,C0081,Shray Loyal,917561450578,wadhwabhavin@gmail.com,P0170,She,Books,1,26961.11,26961.11
O00249,2025-05-14,C0081,Shray Loyal,917561450578,wadhwabhavin@gmail.com,P0184,Service,Grocery,2,40592.32,81184.64
O00249,2025-05-14,C0081,Shray Loyal,917561450578,wadhwabhavin@gmail.com,P0474,History,Toys,1,6036.27,6036.27
O00250,2025-06-20,C0609,Parinaaz Deo,916371738916,uhanda@gmail.com,P0276,All,Books,1,17066.13,17066.13
O00250,2025-06-20,C0609,Parinaaz Deo,916371738916,uhanda@gmail.com,P0343,Our,Electronics,2,36254.41,72508.82
O00250,2025-06-20,C0609,Parinaaz Deo,916371738916,uhanda@gmail.com,P0223,Free,Electronics,3,8128.12,24384.36
O00250,2025-06-20,C0609,Parinaaz Deo,916371738916,uhanda@gmail.com,P0225,About,Toys,1,34961.77,34961.77
O00250,2025-06-20,C0609,Parinaaz Deo,916371738916,uhanda@gmail.com,P0348,Expert,Home,1,19437.03,19437.03
O00251,2025-03-01,C0871,Navya Ganguly,919624238524,daminiarya@gmail.com,P0469,Do,Toys,2,8436.34,16872.68
O00252,2024-11-02,C0497,Pari Gala,918726555199,japte@gmail.com,P0143,Protect,Toys,1,38572.8,38572.8
O00252,2024-11-02,C0497,Pari Gala,918726555199,japte@gmail.com,P0208,Wide,Books,2,45993.95,91987.9
O00252,2024-11-02,C0497,Pari Gala,918726555199,japte@gmail.com,P0137,Artist,Toys,2,22076.28,44152.56
O00252,2024-11-02,C0497,Pari Gala,918726555199,japte@gmail.com,P0237,Increase,Grocery,2,12800.95,25601.9
O00252,2024-11-02,C0497,Pari Gala,918726555199,japte@gmail.com,P0262,The,Home,2,17889.61,35779.22
O00253,2025-07-15,C0876,Jivin Loke,916613316202,chahaljayesh@gmail.com,P0197,Wear,Electronics,3,11828.38,35485.14
O00253,2025-07-15,C0876,Jivin Loke,916613316202,chahaljayesh@gmail.com,P0124,The,Electronics,1,38646.03,38646.03
O00253,2025-07-15,C0876,Jivin Loke,916613316202,chahaljayesh@gmail.com,P0247,Difficult,Books,2,41823.06,83646.12
O00253,2025-07-15,C0876,Jivin Loke,916613316202,chahaljayesh@gmail.com,P0218,Key,Toys,2,25984.1,51968.2
O00254,2025-08-04,C0106,Kaira Ghosh,918355116974,sumershanker@gmail.com,P0306,Wall,Home,3,44948.53,134845.59
O00254,2025-08-04,C0106,Kaira Ghosh,918355116974,sumershanker@gmail.com,P0490,They,Home,1,2217.14,2217.14
O00255,2025-03-21,C0828,Uthkarsh Goel,919306486524,aarnabath@gmail.com,P0032,Language,Fashion,2,22132.39,44264.78
O00256,2025-03-25,C0246,Miraya Sengupta,917333307560,sanabanerjee@gmail.com,P0124,The,Electronics,1,38646.03,38646.03
O00256,2025-03-25,C0246,Miraya Sengupta,917333307560,sanabanerjee@gmail.com,P0015,Create,Books,2,29120.31,58240.62
O00257,2025-08-23,C0517,Ranbir Kaul,918533677938,okurian@gmail.com,P0135,Plan,Fashion,2,27769.28,55538.56
O00257,2025-08-23,C0517,Ranbir Kaul,918533677938,okurian@gmail.com,P0321,Right,Fashion,2,41419.14,82838.28
O00257,2025-08-23,C0517,Ranbir Kaul,918533677938,okurian@gmail.com,P0319,Friend,Electronics,1,17520.15,17520.15
